Serial No,Inventory No,Inventory Type,Department,Items Name,Total Purchased,Opening Balance,Closing Balance,Total Balance,Total Issue,Total Return,Total Damage,Total Missing,Image
1,IN-Glass-001,Glass,Jaar,100 ML,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1A0FbZmqOalIOwiTqMibSHB2_QzVosV-C
2,IN-Glass-001,Glass,Jaar,120 ML,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=18c1dSeA95t5XN2D3kdPBM6l-HTqPWHIN
3,IN-Kullhad-001,Kullhad,KULLHAD,15- NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1a_MplKYdAdFkSJ0a5lduYIprQ-Ek3dyT
4,IN-Glass-001,Glass,Jaar,150 ml,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1xPifCYmRIrlDOz7nzG6kEGSsUDbkV0VO
5,IN-Kullhad-001,Kullhad,KULLHAD,24 NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1bQlqLipsiNMZ0jb8HPlBsXXqHhIrtDEF
6,IN-Kullhad-001,Kullhad,KULLHAD,25-NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=17FrUmUbbqx2lPWi8OjBV9dNEQbmy8EMA
7,IN-Kullhad-001,Kullhad,KULLHAD,26-NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Ou_C35zKVGCr9RjdSMIOIPl77vsdVN2H
8,IN-Kullhad-001,Kullhad,KULLHAD,27 NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1weA5wadC3BdU8pG3fRXZ2SF5d0yjK0bh
9,IN-Kullhad-001,Kullhad,KULLHAD,28 NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1BXfnKknoz0NkYUtVGBaXLMYxajBY3W30
10,IN-Kullhad-001,Kullhad,KULLHAD,30 No,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1dDUOYMOQ222EW0DvPWb4mOKpG9_gBwLO
11,IN-Kullhad-001,Kullhad,KULLHAD,32 NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1wLFvxoFpk7THQiWPDqIXiqNVPP9gqNXr
12,IN-Kullhad-001,Kullhad,KULLHAD,33-NO,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Tu8pcqThgDuRsFo8zxtSoh9TkaQCnHDA
13,IN-Disposal-001,Disposal,Dispo Cutlery,4* plate,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1lxQi8KfgPGgUIFYQeyd_Y6m5pDjSChNV
14,IN-Disposal-001,Disposal,Dispo Cutlery,4* Sqare Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1CphJfG8pW2WI7i4u1eDNbj7DbPU1zI98
15,IN-Disposal-001,Disposal,Dispo Cutlery,6* Round Plate,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1GQurMBNogeKgEt_jr7_gC30xeQxpApyj
